tarih,haftalik_getiri,pozisyon,strateji_getiri,strateji_kumulatif,bh_kumulatif,rejim
2022-01-02,0.0,1,0.0,1.0,1.0,🐂 Boğa
2022-01-09,0.09452558670386502,1,0.09452558670386502,1.094525586703865,1.094525586703865,🐂 Boğa
2022-01-16,0.01947563942114372,1,0.01947563942114372,1.1158421723677252,1.1158421723677252,🐂 Boğa
2022-01-23,-0.029765022372512107,1,-0.029765022372512107,1.0826291051430073,1.0826291051430073,🐂 Boğa
2022-01-30,-0.013922049753020582,1,-0.013922049753020582,1.0675566888771382,1.0675566888771382,🐂 Boğa
2022-02-06,-0.01986681511493582,1,-0.01986681511493582,1.046347737514503,1.046347737514503,🐂 Boğa
2022-02-13,0.05520109051223954,1,0.05520109051223954,1.1041072736803181,1.1041072736803181,🐂 Boğa
2022-02-20,-0.009117024218150083,1,-0.009117024218150083,1.094041100926739,1.094041100926739,🐂 Boğa
2022-02-27,-0.039362357639191936,1,-0.039362357639191936,1.0509770638400855,1.0509770638400855,🐂 Boğa
2022-03-06,0.019668092536839987,1,0.019668092536839987,1.0716477779857887,1.0716477779857887,🐂 Boğa
2022-03-13,0.03169571145731154,1,0.03169571145731154,1.1056144167406954,1.1056144167406954,🐂 Boğa
2022-03-20,0.04401389846267478,1,0.04401389846267478,1.1542768174179898,1.1542768174179898,🐂 Boğa
2022-03-27,0.014550257622504281,1,0.014550257622504281,1.171071842479106,1.171071842479106,🐂 Boğa
2022-04-03,0.035026368561030585,1,0.035026368561030585,1.2120902364452244,1.2120902364452244,🐂 Boğa
2022-04-10,0.06293021923439812,1,0.06293021923439812,1.2883673407565959,1.2883673407565959,🐂 Boğa
2022-04-17,0.04219940318141391,1,0.04219940318141391,1.3427356736149496,1.3427356736149496,🐂 Boğa
2022-04-24,-0.008779674049389063,1,-0.008779674049389063,1.3309468920661236,1.3309468920661236,🐂 Boğa
2022-05-01,-0.01694636263582827,1,-0.01694636263582827,1.3083921833841425,1.3083921833841425,🐂 Boğa
2022-05-08,0.011560932271360569,1,0.011560932271360569,1.3235184168006242,1.3235184168006242,🐂 Boğa
2022-05-15,-0.016065485282076408,1,-0.016065485282076408,1.3022554511549567,1.3022554511549567,🐂 Boğa
2022-05-22,-0.01934526122238489,1,-0.01934526122238489,1.2770629792740893,1.2770629792740893,🐂 Boğa
2022-05-29,0.027988644580005717,1,0.027988644580005717,1.312806241107275,1.312806241107275,🐂 Boğa
2022-06-05,0.06663108182458144,1,0.06663108182458144,1.400279941178315,1.400279941178315,🐂 Boğa
2022-06-12,-0.022373341462325058,1,-0.022373341462325058,1.368950999911488,1.368950999911488,🐂 Boğa
2022-06-19,-0.0038536039467448324,1,-0.0038536039467448324,1.3636756049353287,1.3636756049353287,🐂 Boğa
2022-06-26,0.008210696987435373,1,0.008210696987435373,1.3748723321166103,1.3748723321166103,🐂 Boğa
2022-07-03,-0.043185519836039465,1,-0.043185519836039465,1.3154977557459666,1.3154977557459666,🐂 Boğa
2022-07-10,-0.0040101892634303304,1,-0.0040101892634303304,1.3102223607698074,1.3102223607698074,🐂 Boğa
2022-07-17,-0.021199723840779727,1,-0.021199723840779727,1.282446008551473,1.282446008551473,🐂 Boğa
2022-07-24,0.056329828541118676,1,0.056329828541118676,1.3546859723264195,1.3546859723264195,🐂 Boğa
2022-07-31,0.0301199880984937,1,0.0301199880984937,1.3954890976900876,1.3954890976900876,🐂 Boğa
2022-08-07,0.0609859438518785,1,0.0609859438518785,1.4805943174477239,1.4805943174477239,🐂 Boğa
2022-08-14,0.04137435615944196,1,0.04137435615944196,1.5418529540654518,1.5418529540654518,🐂 Boğa
2022-08-21,0.0544285678851828,1,0.0544285678851828,1.6257738022447727,1.6257738022447727,🐂 Boğa
2022-08-28,0.04168609096691833,1,0.04168609096691833,1.693545956856781,1.693545956856781,🐂 Boğa
2022-09-04,0.024347530931547956,1,0.024347530931547956,1.7347796194253495,1.7347796194253495,🐂 Boğa
2022-09-11,0.09268620433361563,1,0.09268620433361563,1.8955697577051995,1.8955697577051995,🐂 Boğa
2022-09-18,-0.04092112518274771,1,-0.04092112518274771,1.8180009103575143,1.8180009103575143,🐂 Boğa
2022-09-25,-0.028336235017003886,1,-0.028336235017003886,1.7664856093004968,1.7664856093004968,🐂 Boğa
2022-10-02,-0.030960550652489593,1,-0.030960550652489593,1.7117942421168548,1.7117942421168548,🐂 Boğa
