Date,close,open,high,low,volume,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,ema_20,bb_upper,bb_mid,bb_lower,bb_width,volume_norm,usdtry,brent,sp500,dax,usdtry_chg,brent_chg,sp500_chg,dax_chg,target
2010-12-19,0.0125222737794628,0.0136962156777245,0.0133810488517929,0.0135114958421649,0.1322299111332924,0.3441187667908565,0.2142346900064917,0.1445532751637415,0.4885705916464006,0.0102378344453461,0.0021562141141405,0.0106081498325049,0.0121531297200805,0.0102378344453461,0.0096004036130621,0.2361030615818385,0.649527926159737,0.0002550089073548,0.6675220698871314,0.0242372270582925,0.1178050228373363,0.6401639306021522,0.4277490236684952,0.5635825705969633,0.6362940616851707,0
2010-12-26,0.0150968905163833,0.0122446757776622,0.0128456172625118,0.0131032439974842,0.1125603553832225,0.4451515977385578,0.2127903555801157,0.1427412817937731,0.4886687904961277,0.0105691518887705,0.0024057164460068,0.0107479537533699,0.0121306518843668,0.0105691518887705,0.0103527027546741,0.2203926953931457,0.5381941375580451,0.0010170699163359,0.6920444708635866,0.0268264476288978,0.1227498044354618,0.6613395770819629,0.4519110631617013,0.5913087183382587,0.6820943784768887,1
2011-01-02,0.0148502365661782,0.0146717151593964,0.0135537170514555,0.0157758792249306,0.1245002125557126,0.4340826148901879,0.2112413968530387,0.1409140846326209,0.488552844806576,0.0109518536845913,0.0026667352853313,0.010848679109301,0.0118750818719288,0.0109518536845913,0.0115017937459322,0.1924369548226179,0.5744193824991934,0.0012542880800087,0.6967968707807662,0.0270016118450432,0.1133189358298333,0.6343867351619848,0.4151027065445293,0.5556897109474549,0.5814838638097959,0
2011-01-09,0.0174461639844152,0.0148583659547028,0.0159491289924476,0.0165983539868695,0.1792254113924676,0.5249002201431648,0.2118568423112574,0.1396023591273751,0.4924838851547367,0.0114614918546449,0.0029880990463698,0.0112109656725595,0.0117514558892935,0.0114614918546449,0.0127676334906891,0.1650717692164531,0.7816550185297141,0.001227600197076,0.6833000724197843,0.0297921717251283,0.1155304188095973,0.6211660026418825,0.3824000765248498,0.5938280664542036,0.6629840561773089,1
2011-01-16,0.0166101723082871,0.0168740793316055,0.0152649867190382,0.0177096641219098,0.1403412923715129,0.4850984074585134,0.211470239965861,0.138458733475637,0.4937658320844785,0.0118955168487525,0.0032758793561251,0.0114514263702452,0.0114386288827965,0.0118955168487525,0.0140988654310519,0.1331755631043914,0.5861466083917538,0.0010526549385192,0.7282577350274176,0.0341692863470172,0.1239334444225269,0.6137682109175574,0.4882302479120209,0.6162688869303019,0.7067629923315613,0
2011-01-23,0.0147777802497022,0.0160681848833361,0.0140428122386512,0.0150303989791473,0.1399928683659488,0.4030973063227167,0.2095217365176294,0.1370688301716691,0.4918876931476972,0.0121461810242495,0.003590708328693,0.0114775860072487,0.0111318885336247,0.0121461810242495,0.0150215037829995,0.1095440138695566,0.5622081201807482,0.0020904813116208,0.7238855358055165,0.0321780376269547,0.1230606603539842,0.6744748143551687,0.3989929370435984,0.5248946581800817,0.641173433702541,0
2011-01-30,0.0122285873847394,0.014740080560131,0.0128423505130999,0.0135318574513497,0.1309648152439987,0.3044279217996466,0.2058097196515705,0.1350519985112939,0.4871066724335516,0.0122785799815445,0.0038549618995964,0.0112349817466334,0.0107753769017228,0.0122785799815445,0.0157461147616086,0.0888240507414607,0.5001239426104778,0.0019955926322241,0.7411842686034157,0.0307666471012964,0.125714439929701,0.6178496490572228,0.4366056874803385,0.5329636639487519,0.6657356832809985,0
2011-02-06,0.0141974537339165,0.0113239645796725,0.0123536286078091,0.0126489645159759,0.1321901415245765,0.3809605531271843,0.204300714343608,0.1330706704928576,0.4873774268918601,0.0123521747614531,0.004115789277333,0.0112211379335654,0.0107041376323072,0.0123521747614531,0.0159940410602202,0.0827576874988352,0.498205509312168,0.0024789260988202,0.7450812713431195,0.03771889935625,0.1331677938121926,0.6462157958153265,0.4131992526903723,0.6530323190500411,0.6988846305695703,1
2011-02-13,0.0136543922670457,0.0140866631330219,0.0126280114622592,0.0145785826973984,0.1055118785280365,0.3599093677544446,0.2025654376031194,0.1310625853315889,0.4871733741435275,0.0123770405811069,0.0044426371780588,0.0111518878255757,0.0106762090218606,0.0123770405811069,0.0160825166257083,0.0805463825707549,0.3941620686919933,0.0024285160460383,0.7602889365749207,0.0413993878321551,0.1433538045128629,0.6200482607479975,0.4323827587060609,0.6046263804413925,0.7167088243802119,0
2011-02-20,0.014832683897481,0.0139074079013655,0.0128385312915262,0.0149370279729958,0.133816331383273,0.4055415604850173,0.2020222829378869,0.129323707902714,0.4892263802515268,0.012433144044017,0.0047332716197799,0.0112123098295258,0.0106519463439931,0.012433144044017,0.0162348634034971,0.0772146214089851,0.4932812219783454,0.0018947760614794,0.7706491335867558,0.0441899477122403,0.1470085035636115,0.5965443316670024,0.4238719134860758,0.5916386474739054,0.6716434561573456,1
2011-02-27,0.010497844984563,0.0144240900266312,0.0123820628314123,0.0113140633517225,0.1324164763508172,0.2511006231114396,0.1980967528212315,0.1269756470534367,0.4845806842610831,0.0121356175055234,0.0049319767493001,0.0108141876029481,0.0109855046674863,0.0121356175055234,0.015176979077871,0.1037168541187726,0.4812740451766622,0.0026983499839918,0.8620853340990042,0.0395329685008681,0.1311278319312727,0.6620164083369185,0.5577795985510452,0.4895380782699244,0.5420140320377878,0
2011-03-06,0.0102589763074519,0.0103768472947628,0.0085688742249571,0.0089664392193588,0.1351593827445187,0.2437050964587154,0.1947773898561731,0.1242880098420585,0.4819910396794546,0.0116784666348241,0.005098954091305,0.0104290310733021,0.010891024033428,0.0116784666348241,0.014292062048852,0.1187334814801644,0.4973257232088627,0.0025827083826484,0.8984887348684084,0.0397886733563159,0.1307157641239281,0.6169058036204157,0.4615957479252727,0.5566866204917562,0.6444214179148977,0
2011-03-13,0.0127639609660385,0.0094246700850983,0.0104687601895882,0.0102503900312,0.1649291169177002,0.3434832424724226,0.1941220869062289,0.1219781514592507,0.4848720202353698,0.011310997799931,0.0052549502747578,0.0103422109129357,0.0102682287526544,0.011310997799931,0.0142478952253796,0.1072563090647907,0.5974079829919249,0.002120134907637,0.8782434648110677,0.0363920801884921,0.1177419338793705,0.6000779466227326,0.3769526977690609,0.5059823693227564,0.5583068077144967,1
2011-03-20,0.0128180224981846,0.0124170007036949,0.0116564431892721,0.0131638515983122,0.1496498092207701,0.3455446156394921,0.1936398346837842,0.1200127021447508,0.4874985195361125,0.0110607055159217,0.0053806738849837,0.0102693062637197,0.0099757942470057,0.0110607055159217,0.014057057644728,0.10509783929,0.5247074792207244,0.0022387422220639,0.8790989345044115,0.0313444899364016,0.0969026498549676,0.6283018289102889,0.4078271933839816,0.4821570823363461,0.5003489303425678,1
2011-03-27,0.0132006752587266,0.012452770980188,0.0117030614799916,0.0139441840962654,0.1274679756132069,0.3609221235533147,0.1935562908638309,0.1184199765259877,0.4903409491243699,0.0107284772798221,0.0054907846126392,0.0102433143925986,0.0092119903053515,0.0107284772798221,0.0142620214500587,0.0857881825315657,0.4437486376694596,0.0011297493394148,0.8948768645211965,0.0383088343471491,0.1154331539918992,0.5683557122074393,0.4300347708760339,0.6529815548990225,0.78407894583649,1
2011-04-03,0.0145779525116157,0.0129975570100861,0.0122096796209364,0.0139755321692547,0.1169596835771133,0.4154164398328924,0.1945659117430581,0.1173919196533994,0.4946471715890286,0.0105332404573353,0.0056537398007717,0.0103636595762346,0.0086757251312108,0.0105332404573353,0.0144891084433143,0.0705185648598093,0.407173917146307,0.0010111420249879,0.9244367978073232,0.0420557559472638,0.1307755799009619,0.6165664712319998,0.4499142649730542,0.6054389177130165,0.7559384487895402,1
2011-04-10,0.0168107447744841,0.0141755343963799,0.0160150467123131,0.0159856439320721,0.1620884406363768,0.4946424660723704,0.1970912606564094,0.1171850993223816,0.5009100066902535,0.0104363621039438,0.0058659454949686,0.0107057666191415,0.0082596377653984,0.0104363621039438,0.0147847743829336,0.0563232509979595,0.532236297943646,0.0,1.0,0.0412020792412732,0.133221031137353,0.5718092610122334,0.5144919691174423,0.5413830293356677,0.6640054083566439,1
2011-04-17,0.0171460099124858,0.0162541845575366,0.015190406026981,0.0179773865939187,0.1031027200984527,0.5058976795711916,0.1992876127889156,0.1175550659614409,0.5053086439881279,0.0105534827779762,0.006072419025729,0.0110503117068645,0.0085828468803962,0.0105534827779762,0.0146467063263601,0.0655986419900088,0.3372029714720848,0.0002965218208861,0.9695845970205296,0.039492710469993,0.1306756837025144,0.6376967845117926,0.3658331010806294,0.5295296702452473,0.6298872696069819,1
2011-04-24,0.0173724874595734,0.0171504500964924,0.015096147371084,0.0167460873792695,0.1177638391430865,0.513849394334432,0.2011158794641497,0.1182967309438105,0.5081432541323613,0.0106466381809407,0.0064205834258309,0.0113856993835293,0.0088608053601834,0.0106466381809407,0.0145114109018356,0.0738667822280584,0.3869089359092613,0.0002223931330741,0.9747171976329878,0.0430564064167663,0.1383781202359373,0.6187218585636893,0.4136026279824153,0.6026595109624373,0.7000491824407774,1
2011-05-01,0.0178964953441703,0.0170671938352827,0.0156539542785913,0.0177520011368838,0.1005031954621924,0.5328468851291209,0.202868203488032,0.1193172414333299,0.5102697589109443,0.0108750556089721,0.0067143067457645,0.0117438799137649,0.0093442505488922,0.0108750556089721,0.0144213582873549,0.0854020225535721,0.3320155134519088,0.0003973383916309,0.992776331821444,0.0483375325720157,0.1527688848339953,0.6314203226110308,0.4312491453721896,0.6255559105753707,0.7443173154457612,1
