Date,close,open,high,low,volume,rsi,macd,macd_signal,macd_hist,sma_20,sma_50,ema_20,bb_upper,bb_mid,bb_lower,bb_width,volume_norm,usdtry,brent,sp500,dax,usdtry_chg,brent_chg,sp500_chg,dax_chg,tcmb_faiz,tufe,ufe,target
2010-12-19,635.2386474609375,651.2175353663733,669.7044432308494,628.6746562695973,376211600000,48.76224711306962,22.870024033355207,29.36175295116088,-6.491728917805673,649.8110534667968,592.0774395751953,648.4093723721206,735.1010238743964,649.8110534667968,564.5210830591972,26.25069855385514,1.4802829110365008,1.5185999870300293,91.66999816894531,1243.9100341796875,6982.4501953125,0.0076974238769171865,0.01315201998078308,0.0028297401616732554,-0.003385548284868367,,,,0
2010-12-26,662.66943359375,635.7186241975393,663.9614799141799,624.3637037554909,320323200000,55.10437830100727,21.3043505899509,27.750272478918887,-6.4459218889679875,653.0681823730469,594.3713067626952,649.7674734408472,734.8545836395108,653.0681823730469,571.2817811065829,25.046818532569624,1.2281789721695555,1.5442999601364136,94.25,1256.77001953125,7057.68994140625,0.01692346458967542,0.02814445164818058,0.010338356471288668,0.010775550700563574,,,,1
2011-01-02,660.04150390625,661.6334941774458,671.5564578606712,652.5855077795769,354248700000,54.40954533747553,19.625263323438162,26.125270647822745,-6.500007324384583,656.8304626464844,596.7710540771484,650.7459525327903,732.0525908365842,656.8304626464844,581.6083344563847,22.904579634451384,1.3102073217908545,1.552299976348877,94.75,1257.6400146484375,6914.18994140625,0.005180351239377545,0.0053050397877985045,0.0006922468738648213,-0.020332431885128677,,,,0
2011-01-09,687.6993408203125,663.6264701169437,697.2493067340428,661.2704645996569,509743000000,60.110436436794174,20.29241255993088,24.958699030244375,-4.666286470313494,661.8406341552736,599.7255987548829,654.2653228458876,730.6971927196681,661.8406341552736,592.9840755908791,20.807594762530147,1.7794711524128635,1.5513999462127686,93.33000183105469,1271.5,6947.83984375,-0.0005798042580824614,-0.014986788062747336,0.011020630061168157,0.0048667888254319,,,,1
2011-01-16,678.7924194335938,685.1493800756061,689.9112937026345,673.0053906827245,399259000000,57.61195831640529,19.873331622516844,23.941625548698873,-4.0682939261820295,666.1074645996096,602.3713848876953,656.6012368066215,727.2674514428885,666.1074645996096,604.9474777563306,18.363399329278376,1.3367624213399592,1.5455000400543213,98.05999755859375,1293.239990234375,7075.7001953125,-0.003802956273686875,0.05068033466988742,0.017097908167027054,0.018402892760620793,,,,0
2011-01-23,659.26953125,676.5443899787792,676.8024234978423,644.7135777891809,398269000000,52.46450539362446,17.76113374952672,22.705527188864444,-4.944393439337723,668.5717041015625,605.2658502197264,656.8553600869433,723.904442447634,668.5717041015625,613.2389657554911,16.552521743476554,1.2825561714286653,1.5805000066757202,97.5999984741211,1283.3499755859375,7062.419921875,0.022646370568951024,-0.004690996287225024,-0.007647470479663299,-0.0018768846998771238,,,,0
2011-01-30,632.109619140625,662.3634701656786,663.9264412231262,628.8896655376517,372617000000,46.270734764725596,13.737269108122405,20.91187557271604,-7.174606464593634,669.8732971191406,607.6953369140624,654.4986228539606,719.9957560676505,669.8732971191406,619.7508381706307,14.964758011422978,1.1419729225932604,1.577299952507019,99.41999816894531,1276.3399658203125,7102.7998046875,-0.002024710000116947,0.018647538148341303,-0.005462274437200487,0.005717570359619728,,,,0
2011-02-06,653.0865478515625,625.887670829202,658.6844793547463,619.566720475606,376098600000,51.07491557886674,12.101491760793579,19.14979881033155,-7.048307049537971,670.5967956542969,610.0933239746095,654.3641395203989,719.2147101292637,670.5967956542969,621.9788811793301,14.49989465802044,1.137628827264863,1.5936000347137451,99.83000183105469,1310.8699951171875,7216.2099609375,0.010334167690056795,0.004123955639313559,0.027053943480240594,0.015966965051606108,,,,1
2011-02-13,647.3005981445312,655.3865633245384,661.6274709513863,639.9426047706927,300295900000,49.75347008394024,10.220433842401917,17.363925816745624,-7.143491974343707,670.8412475585938,613.0982885742188,653.6914212941258,718.9085092384755,670.8412475585938,622.773985878712,14.330443112976113,0.9020331332437526,1.5918999910354614,101.43000030517578,1329.1500244140625,7371.2001953125,-0.0010667944535964757,0.016027230740001563,0.013944959732822948,0.02147806607817504,,,,0
2011-02-20,659.8544921875,653.4725539942589,663.8854767939906,643.7276227250262,380719200000,52.61793849461316,9.631648572532413,15.817470367902983,-6.18582179537057,671.3927917480469,615.7703149414062,654.2783804268281,718.6425005306629,671.3927917480469,624.1430829654308,14.075131387573014,1.1264782839431888,1.5738999843597412,102.5199966430664,1343.010009765625,7426.81005859375,-0.011307247174498714,0.010746291379385875,0.010427705749524119,0.007544207429966976,,,,1
2011-02-27,613.6697387695312,658.9894608058969,658.9894608058969,605.4707755212781,376741700000,42.92322167411434,5.376333361115371,13.729242966545462,-8.35290960543009,668.467855834961,617.5971643066406,650.4108907451807,722.2995337360384,668.467855834961,614.6361779338837,16.105988472351594,1.0992892642898133,1.6009999513626099,112.13999938964844,1319.8800048828125,7185.169921875,0.017218353943813547,0.09383537906341366,-0.017222511161215426,-0.03253619451855272,,,,0
2011-03-06,611.124755859375,615.7747647598245,618.0897404217944,580.6809398170291,384535300000,42.45898247785005,1.7781096059344463,11.33901629442326,-9.560906688488814,663.9736785888673,619.1323156738282,646.6693540893897,721.263676461072,663.9736785888673,606.6836807166626,17.256707523094057,1.1356366419203296,1.597100019454956,115.97000122070312,1321.1500244140625,7178.89990234375,-0.0024359350569215232,0.03415375291511036,0.0009622234798252194,-0.0008726334379596246,,,,0
2011-03-13,637.8136596679688,605.6078310166004,638.467647925124,594.2388723834463,469122000000,48.72235336206982,1.0677544365388485,9.284763922846379,-8.21700948630753,660.3611511230469,620.5665087890625,645.8259546206829,714.4355361883646,660.3611511230469,606.2867660577291,16.377215701849163,1.3622626484445648,1.5815000534057617,113.83999633789062,1304.280029296875,6981.490234375,-0.00976768258666616,-0.01836686091568518,-0.01276917443548431,-0.02749859597628601,,,,1
2011-03-20,638.3896484375,637.5586347412674,651.206567397869,625.0036922639755,425707900000,48.85175188461163,0.5449880439944081,7.536808747075986,-6.9918207030815775,657.9005676269531,621.7223828125,645.1177349841892,711.2293721617715,657.9005676269531,604.5717630921348,16.211812896643426,1.197639818407751,1.5855000019073486,113.93000030517578,1279.2099609375,6664.39990234375,0.0025292117398119096,0.0007906181498638087,-0.019221384822467935,-0.04541871740649028,,,,1
2011-03-27,642.466552734375,637.9405741821513,651.7065885748925,633.2436460761173,362681200000,49.81704377654621,0.4544256798543529,6.120332133631659,-5.665906453777306,654.6344848632813,622.7347155761719,644.8652414365878,702.8552553123586,654.6344848632813,606.4137144142039,14.732120462351793,1.0143168299644332,1.5480999946594238,115.58999633789062,1313.800048828125,6946.35986328125,-0.023588777800651384,0.014570315353886976,0.027040195860634775,0.04230837960944389,,,,1
